id,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,n_experience_level,n_employment_type,n_company_size
23,2020,MI,FT,"BI Data Analyst",98000,USD,98000,US,0,US,M,1,3,2
73,2021,EX,FT,"BI Data Analyst",150000,USD,150000,IN,100,US,L,3,3,3
76,2021,MI,FT,"BI Data Analyst",100000,USD,100000,US,100,US,M,1,3,2
102,2021,MI,FT,"BI Data Analyst",11000000,HUF,36259,HU,50,US,L,1,3,3
168,2021,EN,FT,"BI Data Analyst",55000,USD,55000,US,50,US,S,0,3,1
196,2021,EN,FT,"BI Data Analyst",9272,USD,9272,KE,100,KE,S,0,3,1
