id,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,n_experience_level,n_employment_type,n_company_size
82,2021,MI,FT,"Applied Data Scientist",68000,CAD,54238,GB,50,CA,L,1,3,3
123,2021,EN,FT,"Applied Data Scientist",80000,GBP,110037,GB,0,GB,L,0,3,3
509,2022,MI,FT,"Applied Data Scientist",157000,USD,157000,US,100,US,L,1,3,3
519,2022,SE,FT,"Applied Data Scientist",380000,USD,380000,US,100,US,L,2,3,3
525,2022,SE,FT,"Applied Data Scientist",177000,USD,177000,US,100,US,L,2,3,3
